product_id,Price (After Discount),Sales Count,Rating Average,Number Reviews,Discount Rate,neg_count,neu_count,pos_count
272405380,157680,71,4.5,2,28,1,0,1
271808190,109000,505,4.8,53,34,1,3,12
270442370,118900,327,4.5,13,30,1,1,4
263117193,266400,203,5.0,10,20,1,1,4
253057679,163700,251,5.0,14,13,0,0,3
216226699,166300,288,5.0,29,27,0,0,4
216090608,74000,171,4.6,7,25,1,0,4
204761686,350000,260,5.0,44,0,0,2,18
199177647,104300,659,4.8,67,30,5,1,24
173865570,129000,5180,5.0,655,0,10,14,168
173515462,74000,247,4.8,23,26,1,0,6
168662558,116000,3225,5.0,234,25,4,5,56
162865518,118000,729,4.8,83,26,2,1,21
154245455,182000,2578,5.0,297,33,4,11,102
153518828,67000,2624,5.0,353,26,10,10,102
138934626,348500,422,4.8,90,29,6,4,37
130233544,154400,3850,4.8,522,26,17,16,113
94173462,206360,26529,5.0,5753,23,66,26,266
78975610,107800,1973,4.8,243,23,9,11,75
52798281,62700,2844,4.8,319,37,10,10,62
464132,25000,1870,5.0,214,29,8,11,69
278567955,154100,55,5.0,3,30,0,0,1
277750399,488100,53,4.0,4,30,1,0,2
273569038,249000,756,4.7,32,0,2,0,11
273524657,49000,230,5.0,7,30,1,0,1
273418280,99330,356,4.8,34,23,2,1,9
272226135,97300,99,5.0,13,30,0,0,3
271317275,96250,1812,5.0,162,23,3,6,26
271075257,16000,25,3.0,1,0,1,0,0
270660251,54000,136,4.8,148,2,5,1,27
263697837,58000,143,5.0,158,3,4,2,30
263068035,103000,427,4.8,13,20,0,1,1
242725109,79000,413,5.0,39,33,1,1,11
212213039,122000,474,4.8,30,28,1,2,3
197587864,145600,546,5.0,41,30,1,0,10
196001718,203000,121,4.7,19,25,1,1,3
192173848,158300,191,5.0,16,9,1,0,2
181699638,109000,440,4.7,86,27,5,0,36
150783204,15000,893,4.7,96,0,4,7,20
103550551,105000,2492,4.8,543,30,27,13,144
93249197,60060,1763,4.8,107,23,10,5,30
77105806,133000,134,4.6,17,24,2,0,6
75615221,90090,1743,5.0,267,23,7,4,95
53703869,322400,235,5.0,33,27,2,1,13
50215275,19400,492,4.8,85,22,1,2,25
21129748,102700,2303,4.8,174,26,2,5,56
2542273,141400,713,4.6,35,29,4,1,12
648672,60000,2663,4.8,224,26,10,9,75
595724,172000,3344,5.0,418,25,12,13,105
542936,13000,861,4.7,7,13,1,1,3
441373,65700,5040,4.5,99,26,10,9,91
278859733,147500,3343,5.0,313,26,7,4,91
278443308,77300,10,5.0,2,30,0,0,2
277521192,194800,88,5.0,8,30,0,0,3
277348553,130000,72,5.0,5,23,0,0,1
