ID,Price (Before Discount),Sales Count,Rating Average,Number Reviews,Discount Rate,as_content_label_id_0,as_content_label_id_1,as_content_label_id_2,as_content_label_id_3,as_physical_label_id_0,as_physical_label_id_1,as_physical_label_id_2,as_physical_label_id_3,as_price_label_id_0,as_price_label_id_1,as_price_label_id_2,as_price_label_id_3,as_packaging_label_id_0,as_packaging_label_id_1,as_packaging_label_id_2,as_packaging_label_id_3,as_delivery_label_id_0,as_delivery_label_id_1,as_delivery_label_id_2,as_delivery_label_id_3,as_service_label_id_0,as_service_label_id_1,as_service_label_id_2,as_service_label_id_3,sentiment_llm_label_id_0,sentiment_llm_label_id_1,sentiment_llm_label_id_2
49884647,250000,969,5.0,201,4,0.0,1.0,3.0,53.0,1.0,2.0,17.0,37.0,0.0,1.0,3.0,53.0,0.0,0.0,13.0,44.0,0.0,0.0,29.0,28.0,0.0,0.0,3.0,54.0,2.0,15.0,40.0
46755107,135000,2098,5.0,163,17,1.0,1.0,21.0,48.0,0.0,1.0,39.0,31.0,0.0,0.0,3.0,68.0,0.0,0.0,17.0,54.0,0.0,0.0,20.0,51.0,0.0,0.0,1.0,70.0,3.0,7.0,61.0
42189706,115000,262,4.5,24,30,2.0,1.0,9.0,4.0,0.0,1.0,4.0,11.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,16.0,0.0,0.0,4.0,12.0,0.0,0.0,1.0,15.0,2.0,1.0,13.0
8021467,212000,1085,5.0,56,30,1.0,1.0,12.0,26.0,0.0,0.0,12.0,28.0,0.0,0.0,0.0,40.0,1.0,0.0,9.0,30.0,2.0,1.0,11.0,26.0,0.0,0.0,4.0,36.0,2.0,8.0,30.0
278238291,299000,58,4.5,2,20,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
277995420,129000,72,4.8,1149,23,5.0,14.0,69.0,91.0,20.0,4.0,46.0,109.0,0.0,1.0,7.0,171.0,12.0,2.0,38.0,127.0,4.0,4.0,61.0,110.0,2.0,0.0,7.0,170.0,21.0,46.0,112.0
277548460,219000,147,5.0,8,30,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
276919300,198000,210,5.0,6,23,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
276810789,450000,110,5.0,8,23,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0
276354289,185000,65,4.0,5,29,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
276016557,25000,81,5.0,9,1,0.0,0.0,1.0,4.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,4.0,0.0,1.0,4.0
255352519,395000,92,5.0,7,27,0.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0
242424349,45000,584,5.0,38,47,0.0,1.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,5.0,0.0,3.0,2.0
211924953,250000,196,5.0,9,40,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
204078065,139000,3487,4.8,320,23,2.0,8.0,40.0,48.0,10.0,4.0,28.0,56.0,0.0,1.0,4.0,93.0,9.0,0.0,13.0,76.0,3.0,1.0,22.0,72.0,0.0,0.0,3.0,95.0,12.0,27.0,59.0
188930494,52000,933,4.8,96,8,1.0,0.0,17.0,8.0,0.0,0.0,5.0,21.0,0.0,0.0,1.0,25.0,3.0,0.0,0.0,23.0,0.0,0.0,4.0,22.0,0.0,0.0,0.0,26.0,4.0,2.0,20.0
181122317,168000,442,5.0,41,23,0.0,0.0,6.0,6.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,11.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,12.0,0.0,1.0,11.0
162834879,999000,681,5.0,77,28,1.0,2.0,7.0,22.0,2.0,2.0,12.0,16.0,0.0,0.0,3.0,29.0,0.0,0.0,9.0,23.0,0.0,1.0,7.0,24.0,1.0,0.0,1.0,30.0,5.0,6.0,21.0
161310103,135000,4470,5.0,558,34,3.0,8.0,78.0,111.0,13.0,7.0,66.0,114.0,0.0,1.0,10.0,189.0,8.0,0.0,32.0,160.0,2.0,3.0,42.0,153.0,2.0,0.0,4.0,194.0,12.0,43.0,145.0
135754407,540000,259,5.0,42,31,0.0,0.0,2.0,11.0,2.0,0.0,7.0,4.0,0.0,0.0,1.0,12.0,1.0,0.0,2.0,10.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,13.0,2.0,1.0,10.0
111582638,150000,918,4.8,116,24,1.0,4.0,17.0,21.0,4.0,0.0,13.0,26.0,0.0,0.0,0.0,43.0,1.0,0.0,7.0,35.0,2.0,0.0,7.0,34.0,0.0,0.0,0.0,43.0,6.0,5.0,32.0
100384412,189000,1675,5.0,155,29,0.0,2.0,35.0,34.0,5.0,0.0,20.0,46.0,0.0,1.0,1.0,69.0,3.0,0.0,12.0,56.0,2.0,0.0,14.0,55.0,1.0,0.0,3.0,67.0,8.0,10.0,53.0
91120169,189000,1567,5.0,244,23,0.0,5.0,43.0,64.0,11.0,1.0,32.0,68.0,0.0,1.0,6.0,105.0,7.0,0.0,19.0,86.0,3.0,1.0,26.0,82.0,2.0,0.0,6.0,104.0,19.0,15.0,78.0
90866359,75000,1691,5.0,197,24,0.0,1.0,27.0,36.0,1.0,0.0,13.0,50.0,0.0,1.0,1.0,62.0,0.0,0.0,10.0,54.0,1.0,0.0,10.0,53.0,1.0,0.0,3.0,60.0,2.0,11.0,51.0
58342212,117000,4400,5.0,651,23,2.0,4.0,41.0,148.0,6.0,3.0,100.0,86.0,1.0,2.0,3.0,189.0,4.0,0.0,12.0,179.0,3.0,0.0,31.0,161.0,2.0,0.0,2.0,191.0,16.0,22.0,157.0
55589742,108000,2326,4.8,289,23,2.0,3.0,33.0,59.0,5.0,3.0,25.0,64.0,1.0,0.0,1.0,95.0,3.0,0.0,16.0,78.0,0.0,2.0,21.0,74.0,0.0,0.0,3.0,94.0,10.0,16.0,71.0
50301393,105000,257,4.7,22,26,0.0,0.0,2.0,8.0,2.0,0.0,3.0,5.0,0.0,0.0,1.0,9.0,1.0,0.0,3.0,6.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,10.0,2.0,2.0,6.0
49460092,149000,3051,4.8,278,23,3.0,10.0,39.0,48.0,11.0,3.0,24.0,62.0,0.0,1.0,6.0,93.0,4.0,0.0,13.0,83.0,2.0,1.0,26.0,71.0,0.0,0.0,3.0,97.0,14.0,19.0,67.0
24951095,110000,35072,4.8,2969,25,6.0,16.0,100.0,231.0,20.0,14.0,179.0,140.0,3.0,11.0,58.0,281.0,10.0,4.0,105.0,234.0,12.0,8.0,152.0,181.0,5.0,0.0,30.0,318.0,41.0,41.0,271.0
17477287,145000,1089,4.8,86,25,1.0,1.0,18.0,24.0,5.0,1.0,9.0,29.0,0.0,0.0,2.0,42.0,2.0,0.0,7.0,35.0,0.0,0.0,10.0,34.0,0.0,0.0,1.0,43.0,6.0,6.0,32.0
14645351,139000,2776,5.0,257,30,3.0,8.0,35.0,50.0,7.0,1.0,34.0,54.0,0.0,0.0,1.0,95.0,3.0,0.0,11.0,82.0,3.0,0.0,24.0,69.0,1.0,0.0,4.0,91.0,10.0,11.0,75.0
1826115,199000,1779,4.8,129,30,2.0,0.0,16.0,37.0,6.0,0.0,14.0,35.0,1.0,1.0,2.0,51.0,1.0,0.0,7.0,47.0,0.0,1.0,13.0,41.0,0.0,0.0,1.0,54.0,9.0,12.0,34.0
277587069,225000,52,4.6,5,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
275243823,65000,10,5.0,2,29,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
275105974,98000,367,5.0,853,23,2.0,9.0,58.0,74.0,4.0,2.0,50.0,87.0,1.0,0.0,10.0,132.0,7.0,0.0,17.0,119.0,2.0,2.0,37.0,102.0,1.0,0.0,6.0,136.0,11.0,23.0,109.0
