ID,Seller ID,Name,Price (After Discount),Price (Before Discount),Sales Count,Rating Average,Number Reviews,Discount Rate,URL
121185870,1,Sách Và Rồi Núi Vọng,126000,180000,1703,5.0,274,30,https://tiki.vn/sach-va-roi-nui-vong-p121185870.html?spid=121185873
100376369,1,Sách Đứa Con Gái Hoang Đàng - Hai Số Phận - Phần II,143000,209000,4180,4.6,878,32,https://tiki.vn/sach-dua-con-gai-hoang-dang-hai-so-phan-phan-ii-p100376369.html?spid=100376370
91553053,1,Sách Tiểu Sử Các Quốc Gia Qua Góc Nhìn Lầy Lội,150500,215000,885,5.0,71,30,https://tiki.vn/sach-tieu-su-cac-quoc-gia-qua-goc-nhin-lay-loi-p91553053.html?spid=91553054
86267532,1,Sách Thuật Tư Tưởng (Tái Bản),71000,95000,1129,4.8,155,25,https://tiki.vn/sach-thuat-tu-tuong-tai-ban-p86267532.html?spid=86267533
75627527,361459,Tối đa hóa hiệu suất công việc - Việc 12 tháng làm trong 12 tuần,119990,169000,20,5.0,1,29,https://tiki.vn/toi-da-hoa-hieu-suat-cong-viec-viec-12-thang-lam-trong-12-tuan-p75627527.html?spid=277775256
3014291,1,Máy Tính Khoa Học Casio FX-580VN X,752000,840000,38418,4.8,5653,10,https://tiki.vn/may-tinh-khoa-hoc-casio-fx-580vn-x-p3014291.html?spid=3014293
278377687,53660,Sách - Thám Tử Lừng Danh Conan - Tập 106,24800,25000,59,4.8,6,1,https://tiki.vn/sach-tham-tu-lung-danh-conan-tap-106-p278377687.html?spid=278377688
278154870,1,Sách The Wager: Hải Trình Nghiệt Ngã,112000,168000,47,5.0,6,33,https://tiki.vn/sach-the-wager-hai-trinh-nghiet-nga-p278154870.html?spid=278154871
278116066,354035,Sách - Nam Dược Thần Hiệu (Tân Biên),300000,300000,7,5.0,1,0,https://tiki.vn/sach-nam-duoc-than-hieu-tan-bien-p278116066.html?spid=278116067
278055541,1,Sách AI Trong Lĩnh Vực Kinh Tế Và Tài Chính,349000,495000,104,4.2,6,29,https://tiki.vn/sach-ai-trong-linh-vuc-kinh-te-va-tai-chinh-p278055541.html?spid=278055542
277622005,1,Sách Boxset Cá Voi Đêm Bão Và Những Câu Chuyện Khác (5 Cuốn),205000,260000,91,5.0,9,21,https://tiki.vn/sach-boxset-ca-voi-dem-bao-va-nhung-cau-chuyen-khac-5-cuon-p277622005.html?spid=277622008
