Price (Before Discount),Sales Count,Rating Average,Number Reviews,Discount Rate,as_content_label_id_0,as_content_label_id_1,as_content_label_id_2,as_content_label_id_3,as_physical_label_id_0,as_physical_label_id_1,as_physical_label_id_2,as_physical_label_id_3,as_price_label_id_0,as_price_label_id_1,as_price_label_id_2,as_price_label_id_3,as_packaging_label_id_0,as_packaging_label_id_1,as_packaging_label_id_2,as_packaging_label_id_3,as_delivery_label_id_0,as_delivery_label_id_1,as_delivery_label_id_2,as_delivery_label_id_3,as_service_label_id_0,as_service_label_id_1,as_service_label_id_2,as_service_label_id_3
315000,1067,5.0,181,30,0.0,5.0,15.0,33.0,6.0,2.0,18.0,27.0,0.0,2.0,8.0,43.0,5.0,1.0,17.0,30.0,0.0,0.0,20.0,33.0,2.0,0.0,2.0,49.0
161100,487,5.0,61,0,0.0,1.0,40.0,21.0,4.0,1.0,8.0,49.0,1.0,0.0,0.0,61.0,0.0,0.0,12.0,50.0,0.0,1.0,7.0,54.0,0.0,0.0,4.0,58.0
239000,35,5.0,8,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
96000,24,5.0,1,30,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
25000,127,5.0,521,4,1.0,3.0,38.0,137.0,14.0,9.0,73.0,83.0,1.0,1.0,5.0,172.0,22.0,2.0,27.0,128.0,7.0,5.0,77.0,90.0,2.0,0.0,14.0,163.0
135000,453,4.6,412,30,2.0,8.0,204.0,116.0,43.0,12.0,71.0,204.0,0.0,5.0,13.0,312.0,13.0,0.0,32.0,285.0,4.0,7.0,81.0,238.0,2.0,0.0,17.0,311.0
55000,599,5.0,9,13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
169000,252,5.0,27,31,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
45000,9,5.0,8,9,0.0,0.0,1.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0
30000,397,5.0,1,50,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
